Set,Price_Euro,Pieces,Minifigs
LEGO Store Picture Frame,14.99,170,1 (1 unique to this set)
Name Sign,9.99,91,
Olaf's Traveling Sleigh,NaN,97,1
Battle of Endor,NaN,197,
LEGO House Dinosaurs,NaN,864,
Lady Liberty,9.99,153,
Xmas Accessories,3.99,32,1 (1 unique to this set)
Rebuild the World minifigure,NaN,6,
1989 Batmobile - Limited Edition,NaN,366,
Reindeer,NaN,77,
Plants from Plants,NaN,29,
Jasmine's Petite Tower,9.99,49,1 (1 unique to this set)
Cinderella's Carriage Ride,19.99,91,1
Ariel's Castle,24.99,115,1 (1 unique to this set)
Aladdin's and Jasmine's Palace Adventures,29.99,193,2 (2 unique to this set)
"Ariel, Aurora, and Tiana's Royal Celebration",44.99,282,3 (3 unique to this set)
Rapunzel's Small Tower,9.99,44,1 (1 unique to this set)
Enchanted Treehouse,48.73,302,3 (1 unique to this set)
Anna's Canoe Expedition,19.99,108,2
Elsa and the Reindeer Carriage,29.99,116,1
Arendelle Castle Village,79.99,521,3 (2 unique to this set)
Elsa's Jewellery Box Creation,39.99,300,1
Olaf,14.61,122,
Underwater Loop,29.23,389,2 (2 unique to this set)
Andrea's Heart Box,7.99,84,1 (1 unique to this set)
Emma's Heart Box,7.99,85,1 (1 unique to this set)
Stephanie's Heart Box,7.99,85,1 (1 unique to this set)
Olivia's Heart Box,7.99,85,2 (2 unique to this set)
Mia's Heart Box,7.99,83,1 (1 unique to this set)
Heart Box Friendship Pack,19.99,199,2 (2 unique to this set)
Emma's Mobile Veterinary Clinic,9.74,50,1 (1 unique to this set)
Mia's Foal Stable,19.49,118,1 (1 unique to this set)
Heartlake City Supermarket,29.23,140,2
Mia's Forest Adventure,14.99,134,1 (1 unique to this set)
Stephanie's Buggy & Trailer,19.99,166,1 (1 unique to this set)
Emma's Art Studio,24.99,235,2 (2 unique to this set)
Olivia's Cupcake Cafe,29.23,335,2 (2 unique to this set)
Stephanie's Horse Jumping,38.98,337,2 (2 unique to this set)
Andrea's Talent Show,49.99,492,2 (1 unique to this set)
Mia's House,68.23,715,3 (2 unique to this set)
Mia's Horse Trailer,29.23,216,2 (2 unique to this set)
Stephanie's Gymnastics Show,29.23,241,2 (2 unique to this set)
Funny Octopus Ride,38.98,324,2 (1 unique to this set)
Andrea's Pool Party,48.73,468,2 (2 unique to this set)
Heartlake City Amusement Pier,126.71,1251,7 (7 unique to this set)
Turtles Rescue Mission,19.49,225,2 (2 unique to this set)
Dolphins Rescue Mission,38.98,363,2 (2 unique to this set)
Heartlake City Restaurant,58.48,624,3 (1 unique to this set)
Lighthouse Rescue Centre,58.48,602,2 (2 unique to this set)
Rescue Mission Boat,87.72,908,4 (4 unique to this set)
LEGO Friends Advent Calendar,24.99,330,3 (3 unique to this set)
Olivia's Hamster Playground,9.74,81,1 (1 unique to this set)
Andrea's Summer Heart Box,7.99,83,1 (1 unique to this set)
Emma's Summer Heart Box,7.99,86,1 (1 unique to this set)
Stephanie's Summer Heart Box,7.99,95,1
Olivia's Summer Heart Box,7.99,93,2 (2 unique to this set)
Mia's Summer Heart Box,7.99,85,1 (1 unique to this set)
Emmet,NaN,113,
Wyldstyle,NaN,134,
Benny,NaN,103,
Sweet Mayhem,NaN,137,
Cherry Picker,9.74,155,
Power Boat,14.99,174,
Getaway Truck,19.99,128,
Police Pursuit,19.49,120,
Rescue Helicopter,29.99,325,
Chevrolet Corvette ZR1,39.99,579,
Tracked Loader,59.99,827,
Remote-Controlled Stunt Racer,79.99,324,
Porsche 911 RSR,199.99,1580,
Compact Crawler Crane,87.72,920,
Car Transporter,149.99,2493,
4x4 X-Treme Off-Roader,229.99,958,
Liebherr R 9800,449.99,4108,
Land Rover Defender,199.99,2573,
Elsa's Ice Palace,69.99,701,7 (1 unique to this set)
City Shaper Challenge Kit,NaN,2238,1 (1 unique to this set)
BOOMTOWN BUILD Inspire Set,NaN,739,
BOOMTOWN BUILD Discovery Set,NaN,78,4
Ski Resort,77.97,806,11 (9 unique to this set)
Jet Patrol,9.74,54,2 (2 unique to this set)
Sky Police Drone Chase,19.49,192,3 (1 unique to this set)
Parachute Arrest,29.23,218,4 (3 unique to this set)
Diamond Heist,49.99,400,4 (3 unique to this set)
Air Base,73.1,529,6 (4 unique to this set)
Barbecue Burn Out,9.74,64,2 (1 unique to this set)
Dock Side Fire,14.61,97,2 (1 unique to this set)
Burger Bar Fire Rescue,29.99,327,3 (3 unique to this set)
Fire Station,59.99,509,4 (2 unique to this set)
Downtown Fire Brigade,99.99,943,7 (4 unique to this set)
Fire Plane,38.98,363,3 (1 unique to this set)
